team1,team2,group,team1_win,draw,team2_win
New Zealand,Norway,A,1,0,0
Australia,Republic of Ireland,B,1,0,0
Nigeria,Canada,B,0,1,0
Philippines,Switzerland,A,0,0,1
Spain,Costa Rica,C,1,0,0
USA,Vietnam,E,1,0,0
Zambia,Japan,C,0,0,1
England,Haiti,D,1,0,0
Denmark,China PR,D,1,0,0
Sweden,South Africa,G,1,0,0
Netherlands,Portugal,E,1,0,0
France,Jamaica,F,0,1,0
Italy,Argentina,G,1,0,0
Germany,Morocco,H,1,0,0
Brazil,Panama,F,1,0,0
Colombia,Korea Republic,H,1,0,0
New Zealand,Philippines,A,0,0,1
Norway,Switzerland,A,0,1,0
